2.60,12.66,95.88,14.71,62195.91
2.72,13.25,97.44,14.72,62156.91
2.84,13.85,99.07,14.72,62117.91
2.96,14.45,100.77,14.72,62078.89
3.06,14.94,102.25,14.73,62046.39
3.18,15.54,104.08,14.74,62007.39
3.30,16.14,105.98,14.74,61968.38
3.42,16.74,107.96,14.75,61929.38
3.54,17.34,110.01,14.76,61890.38
3.66,17.94,112.13,14.76,61851.37
3.78,18.54,114.32,14.76,61812.37
3.90,19.15,116.59,14.77,61773.36
4.02,19.75,118.92,14.78,61734.36
4.14,20.35,121.33,14.78,61695.36
4.26,20.96,123.81,14.79,61656.35
4.38,21.56,126.37,14.79,61617.35
4.50,22.17,129.00,14.80,61578.35
4.64,22.88,132.15,14.81,61532.84
4.74,23.38,134.47,14.81,61500.34
4.86,23.99,137.31,14.82,61461.33
4.98,24.60,140.23,14.83,61422.33
5.10,25.21,143.22,14.83,61383.32
5.20,25.72,145.77,14.83,61350.82
5.32,26.33,148.90,14.85,61311.82
5.44,26.94,152.09,14.85,61272.81
5.56,27.55,155.37,14.86,61233.81
5.66,28.06,158.15,14.87,61201.30
5.80,28.78,162.13,14.87,61155.80
5.92,29.40,165.63,14.88,61116.79
6.04,30.01,169.19,14.88,61077.79
6.14,30.52,172.22,14.88,61045.29
6.26,31.14,175.92,14.89,61006.28
6.38,31.76,179.70,14.90,60967.28
6.50,32.37,183.55,14.89,60928.28
6.62,32.99,187.48,14.90,60889.27
6.74,33.61,191.47,14.91,60850.27
6.86,34.23,195.55,14.91,60811.27
7.00,34.96,200.39,14.94,60765.75
7.12,35.58,204.63,14.93,60726.75
7.22,36.10,208.21,14.94,60694.25
7.32,36.62,211.85,14.94,60661.75
7.44,37.24,216.29,14.94,60622.74
7.54,37.75,220.04,14.94,60590.24
7.66,38.38,224.61,14.95,60551.23
7.76,38.90,228.47,14.95,60518.73
7.88,39.53,233.18,14.95,60479.73
7.96,39.94,236.36,14.96,60453.72
8.10,40.67,242.01,14.96,60408.22
8.20,41.20,246.10,14.97,60375.72
8.32,41.83,251.09,14.99,60336.71
8.40,42.24,254.45,14.98,60310.71
8.52,42.87,259.56,14.98,60271.71
8.62,43.40,263.87,14.98,60239.20
8.74,44.02,269.12,14.98,60200.20
8.86,44.65,274.44,14.99,60161.20
8.96,45.17,278.93,15.00,60128.69
9.08,45.80,284.40,15.00,60089.69
9.20,46.43,289.93,15.01,60050.68
9.32,47.07,295.54,15.01,60011.68
9.44,47.69,301.23,15.01,59972.67
9.56,48.32,306.99,15.02,59933.67
9.68,48.96,312.83,15.02,59894.66
9.80,49.59,318.75,15.01,59855.66
9.92,50.22,324.74,15.02,59816.66
10.04,50.85,330.81,15.02,59777.65
10.16,51.49,336.95,15.04,59738.64
10.28,52.13,343.17,15.05,59699.64
10.40,52.76,349.46,15.04,59660.64
10.52,53.39,355.83,15.04,59621.63
10.64,54.03,362.28,15.03,59582.63
10.76,54.66,368.80,15.04,59543.63
10.88,55.29,375.40,15.05,59504.62
11.00,55.93,382.08,15.05,59465.62
11.14,56.67,389.97,15.06,59420.11
11.24,57.20,395.66,15.07,59387.61
11.36,57.84,402.57,15.06,59348.61
11.48,58.48,409.55,15.07,59309.60
11.58,59.01,415.43,15.07,59277.10
11.70,59.65,422.55,15.07,59238.10
11.82,60.29,429.75,15.07,59199.09
11.94,60.93,437.02,15.07,59160.09
12.06,61.57,444.38,15.08,59121.08
12.18,62.21,451.81,15.10,59082.08
12.28,62.74,458.06,15.09,59049.57
12.40,63.38,465.63,15.09,59010.57
12.52,64.02,473.27,15.09,58971.57
12.64,64.66,481.00,15.08,58932.56
12.74,65.19,487.49,15.09,58900.06
12.86,65.84,495.36,15.10,58861.05
12.96,66.37,501.97,15.10,58828.55
13.08,67.02,509.98,15.11,58789.55
13.18,67.56,516.71,15.11,58757.05
13.30,68.20,524.86,15.11,58718.04
13.42,68.84,533.09,15.12,58679.04
13.54,69.49,541.39,15.12,58640.03
13.66,70.13,549.77,15.11,58601.03
13.78,70.78,558.23,15.12,58562.02
13.90,71.42,566.76,15.11,58523.02
14.02,72.07,575.38,15.13,58484.02
14.14,72.72,584.07,15.14,58445.01
14.26,73.36,592.83,15.13,58406.00
14.38,74.01,601.68,15.13,58367.00
14.50,74.65,610.60,15.12,58328.00
14.60,75.19,618.10,15.12,58295.50
14.72,75.84,627.16,15.14,58256.49
14.84,76.49,636.31,15.13,58217.49
14.96,77.13,645.53,15.13,58178.48
15.06,77.67,653.27,15.13,58145.98
15.18,78.32,662.63,15.13,58106.97
15.30,78.96,672.07,15.14,58067.97
15.42,79.61,681.59,15.14,58028.96
15.52,80.15,689.58,15.13,57996.46
15.64,80.80,699.24,15.14,57957.46
15.76,81.45,708.98,15.13,57918.45
15.88,82.09,718.79,15.14,57879.45
15.98,82.64,727.03,15.15,57846.95
16.10,83.28,736.99,15.15,57807.94
16.20,83.82,745.35,15.13,57775.44
16.32,84.47,755.45,15.13,57736.43
16.44,85.11,765.63,15.12,57697.43
16.56,85.76,775.88,15.14,57658.43
16.68,86.41,786.22,15.14,57619.42
16.80,87.05,796.63,15.13,57580.42
16.92,87.70,807.11,15.13,57541.41
17.04,88.34,817.68,15.12,57502.41
17.14,88.88,826.54,15.12,57469.91
17.26,89.53,837.25,15.13,57430.90
17.38,90.17,848.04,15.13,57391.90
17.48,90.71,857.08,15.12,57359.40
17.60,91.36,868.01,15.13,57320.39
17.70,91.90,877.18,15.13,57287.88
17.82,92.55,888.25,15.14,57248.89
17.92,93.09,897.53,15.16,57216.38
18.04,93.74,908.75,15.14,57177.38
18.16,94.38,920.04,15.13,57138.37
18.28,95.03,931.41,15.12,57099.37
18.40,95.68,942.85,15.13,57060.36
18.52,96.33,954.38,15.15,57021.36
18.64,96.98,965.98,15.14,56982.36
18.74,97.51,975.71,15.13,56949.85
18.86,98.16,987.45,15.12,56910.85
18.98,98.81,999.28,15.11,56871.84
19.10,99.45,1011.17,15.13,56832.84
19.22,100.10,1023.15,15.14,56793.84
19.34,100.75,1035.21,15.13,56754.83
19.46,101.40,1047.34,15.14,56715.83
19.58,102.05,1059.55,15.13,56676.82
19.70,102.70,1071.84,15.15,56637.82
19.80,103.24,1082.14,15.16,56605.32
19.92,103.89,1094.57,15.15,56566.31
20.04,104.54,1107.08,15.14,56527.31
20.16,105.19,1119.67,15.14,56488.30
20.28,105.84,1132.34,15.14,56449.30
20.40,106.50,1145.08,15.17,56410.30
20.52,107.15,1157.91,15.17,56371.29
20.64,107.79,1170.81,15.15,56332.29
20.76,108.44,1183.79,15.13,56293.28
20.88,109.09,1196.84,15.12,56254.28
21.00,109.74,1209.98,15.14,56215.27
21.14,110.50,1225.40,15.15,56169.77
21.26,111.14,1238.70,15.13,56130.76
21.38,111.79,1252.08,15.12,56091.76
21.50,112.44,1265.54,15.11,56052.76
21.62,113.08,1279.08,15.13,56013.75
21.74,113.74,1292.69,15.14,55974.75
21.86,114.38,1306.38,15.13,55935.75
21.96,114.92,1317.85,15.13,55903.24
22.08,115.58,1331.69,15.13,55864.24
22.20,116.23,1345.60,15.14,55825.23
22.32,116.88,1359.59,15.17,55786.23
22.44,117.53,1373.66,15.16,55747.23
22.54,118.07,1385.45,15.14,55714.72
22.66,118.72,1399.66,15.13,55675.71
22.76,119.26,1411.56,15.12,55643.21
22.88,119.92,1425.92,15.14,55604.21
22.98,120.46,1437.94,15.16,55571.71
23.10,121.11,1452.44,15.14,55532.70
23.20,121.64,1464.58,15.13,55500.20
23.32,122.29,1479.22,15.11,55461.20
23.44,122.94,1493.94,15.11,55422.19
23.56,123.58,1508.74,15.13,55383.18
23.68,124.24,1523.61,15.13,55344.18
23.80,124.88,1538.56,15.12,55305.18
23.90,125.42,1551.08,15.13,55272.67
24.04,126.18,1568.70,15.13,55227.17
24.16,126.84,1583.89,15.15,55188.16
24.28,127.49,1599.15,15.17,55149.16
24.40,128.14,1614.50,15.16,55110.16
24.50,128.69,1627.34,15.15,55077.65
24.62,129.34,1642.83,15.15,55038.65
24.72,129.89,1655.80,15.16,55006.14
24.82,130.44,1668.82,15.18,54973.64
24.96,131.20,1687.14,15.18,54928.14
25.06,131.74,1700.29,15.16,54895.63
25.18,132.40,1716.14,15.15,54856.62
25.30,133.05,1732.08,15.14,54817.62
25.40,133.59,1745.41,15.15,54785.12
25.52,134.25,1761.49,15.17,54746.12
25.64,134.90,1777.64,15.15,54707.11
25.76,135.55,1793.88,15.14,54668.11
25.88,136.20,1810.19,15.13,54629.11
26.00,136.85,1826.58,15.13,54590.10
26.10,137.40,1840.29,15.16,54557.60
26.22,138.05,1856.83,15.16,54518.59
26.34,138.70,1873.44,15.15,54479.59
26.46,139.36,1890.13,15.15,54440.58
26.58,140.01,1906.89,15.16,54401.58
26.70,140.67,1923.74,15.18,54362.58
26.82,141.33,1940.67,15.19,54323.57
26.92,141.87,1954.83,15.17,54291.07
27.04,142.53,1971.90,15.16,54252.07
27.16,143.18,1989.05,15.14,54213.06
27.26,143.73,2003.40,15.15,54180.55
27.36,144.28,2017.80,15.17,54148.05
27.48,144.93,2035.16,15.17,54109.05
27.60,145.58,2052.60,15.15,54070.04
27.70,146.12,2067.19,15.14,54037.54
27.82,146.78,2084.77,15.13,53998.54
27.94,147.43,2102.43,15.14,53959.54
28.04,147.97,2117.20,15.17,53927.03
28.16,148.63,2135.00,15.17,53888.03
28.28,149.29,2152.89,15.17,53849.02
28.38,149.84,2167.85,15.18,53816.52
28.50,150.50,2185.87,15.18,53777.51
28.62,151.16,2203.98,15.21,53738.51
28.74,151.82,2222.16,15.22,53699.50
28.86,152.48,2240.43,15.20,53660.50
28.96,153.03,2255.71,15.20,53628.00
29.06,153.58,2271.05,15.21,53595.50
29.18,154.25,2289.52,15.22,53556.49
29.30,154.92,2308.08,15.25,53517.48
29.40,155.48,2323.60,15.26,53484.98
29.52,156.14,2342.31,15.24,53445.98
29.64,156.80,2361.09,15.23,53406.97
29.76,157.47,2379.95,15.21,53367.97
29.88,158.13,2398.89,15.23,53328.96
30.00,158.80,2417.92,15.25,53289.96
30.10,159.35,2433.83,15.24,53257.46
30.22,160.02,2453.00,15.23,53218.45
30.32,160.57,2469.03,15.23,53185.95
30.44,161.24,2488.35,15.24,53146.95
30.56,161.91,2507.75,15.26,53107.94
30.66,162.47,2523.97,15.27,53075.44
30.78,163.14,2543.51,15.25,53036.44
30.88,163.69,2559.86,15.24,53003.93
31.00,164.36,2579.55,15.23,52964.93
31.12,165.03,2599.32,15.24,52925.93
31.22,165.59,2615.85,15.26,52893.42
31.34,166.25,2635.77,15.26,52854.42
31.44,166.81,2652.43,15.25,52821.91
31.56,167.47,2672.49,15.24,52782.91
31.66,168.03,2689.27,15.23,52750.41
31.78,168.70,2709.48,15.24,52711.40
31.88,169.26,2726.39,15.27,52678.90
32.00,169.93,2746.75,15.27,52639.89
32.10,170.48,2763.77,15.26,52607.39
32.22,171.15,2784.28,15.26,52568.39
32.34,171.83,2804.86,15.26,52529.38
32.46,172.50,2825.53,15.28,52490.38
32.58,173.18,2846.28,15.31,52451.37
32.70,173.86,2867.11,15.31,52412.37
32.80,174.42,2884.53,15.30,52379.87
32.92,175.09,2905.50,15.29,52340.86
33.04,175.77,2926.56,15.29,52301.86
33.16,176.45,2947.70,15.31,52262.86
33.28,177.12,2968.92,15.32,52223.85
33.40,177.80,2990.23,15.32,52184.84
33.52,178.47,3011.61,15.30,52145.84
33.64,179.15,3033.07,15.30,52106.84
33.74,179.72,3051.02,15.31,52074.33
33.86,180.40,3072.64,15.32,52035.33
33.98,181.08,3094.33,15.33,51996.32
34.08,181.64,3112.47,15.33,51963.82
34.20,182.32,3134.32,15.33,51924.82
34.30,182.89,3152.59,15.33,51892.31
34.42,183.57,3174.58,15.34,51853.30
34.54,184.26,3196.66,15.35,51814.31
34.66,184.94,3218.82,15.36,51775.30
34.76,185.51,3237.34,15.36,51742.80
34.86,186.08,3255.93,15.36,51710.30
34.98,186.76,3278.31,15.36,51671.29
35.08,187.34,3297.02,15.37,51638.79
35.22,188.14,3323.31,15.38,51593.29
35.34,188.83,3345.94,15.39,51554.28
35.46,189.51,3368.64,15.39,51515.28
35.56,190.09,3387.63,15.39,51482.77
35.68,190.78,3410.49,15.39,51443.77
35.78,191.35,3429.60,15.40,51411.26
35.90,192.05,3452.61,15.41,51372.26
36.02,192.74,3475.71,15.41,51333.25
36.12,193.31,3495.02,15.42,51300.75
36.22,193.89,3514.38,15.42,51268.25
36.34,194.58,3537.70,15.42,51229.24
36.44,195.16,3557.19,15.43,51196.74
36.56,195.86,3580.66,15.44,51157.74
36.68,196.55,3604.21,15.44,51118.73
36.80,197.25,3627.85,15.44,51079.73
36.92,197.95,3651.57,15.45,51040.72
37.04,198.65,3675.37,15.46,51001.72
37.16,199.34,3699.26,15.46,50962.72
37.28,200.04,3723.23,15.47,50923.71
37.40,200.74,3747.29,15.47,50884.71
37.52,201.44,3771.43,15.48,50845.70
37.64,202.15,3795.65,15.48,50806.70
37.74,202.73,3815.90,15.49,50774.20
37.86,203.44,3840.28,15.50,50735.19
37.96,204.02,3860.66,15.50,50702.69
38.08,204.73,3885.19,15.51,50663.68
38.18,205.32,3905.70,15.51,50631.18
38.28,205.90,3926.27,15.52,50598.68
38.42,206.73,3955.16,15.52,50553.17
38.54,207.44,3980.02,15.53,50514.17
38.64,208.03,4000.80,15.54,50481.66
38.76,208.74,4025.81,15.54,50442.66
38.86,209.33,4046.72,15.55,50410.16
38.98,210.04,4071.89,15.55,50371.15
39.10,210.75,4097.15,15.56,50332.15
39.22,211.47,4122.49,15.57,50293.14
39.34,212.18,4147.91,15.57,50254.14
39.48,213.01,4177.69,15.58,50208.64
39.58,213.61,4199.02,15.58,50176.13
39.70,214.33,4224.71,15.59,50137.13
39.82,215.04,4250.48,15.60,50098.12
39.92,215.64,4272.02,15.60,50065.62
40.02,216.24,4293.62,15.61,50033.12
40.14,216.96,4319.62,15.62,49994.11
40.24,217.56,4341.35,15.62,49961.61
